observationid,mediaid,vote,content,classid,family,genus,species,author,date,location,latitude,longitude,yearinclef,observationid2014,imageid2014,learntag
15010,100019,3,Flower,8527,Asteraceae,Achillea,Achillea millefolium L.,mathieu menand,2009-4-24,Aucamville,,,PlantCLEF2014,4688,52287,Train
10732,100056,4,Flower,4516,Ranunculaceae,Ficaria,Ficaria verna Huds.,alain06,2014-9-7,Biot,43.62495,7.1044,PlantCLEF2015,,,Train
24005,100087,4,Flower,588,Asteraceae,Centaurea,Centaurea jacea L.,thierry pernot,1800-1-1,,,,PlantCLEF2014,2559,32864,Train
19892,100182,4,Flower,9930,Orchidaceae,Epipactis,Epipactis helleborine (L.) Crantz,thierry pernot,1800-1-1,,,,PlantCLEF2014,11733,40782,Train
36220,10019,4,Flower,6487,Orchidaceae,Ophrys,Ophrys apifera Huds.,jean-claude echardour,2010-6-26,Saffré,47.49689,-1.59442,PlantCLEF2014,13210,8080,Train
18601,100211,3,Flower,14867,Liliaceae,Tulipa,Tulipa sylvestris L.,daniel mathieu,2008-4-29,Prades-le-Lez,,,PlantCLEF2014,17908,46126,Train
23707,100250,3,Flower,661,Asteraceae,Cichorium,Cichorium intybus L.,herve goeau,2013-7-13,Pego,38.8769,-0.05687,PlantCLEF2014,12052,44881,Train
24572,100280,4,Flower,6418,Orchidaceae,Himantoglossum,Himantoglossum robertianum (Loisel.) P.Delforge,thierry pernot,1800-1-1,,,,PlantCLEF2014,4544,666,Train
14731,100310,3,Flower,151,Apiaceae,Daucus,Daucus carota L.,jean-jacques houdre,2013-11-12,Bas-en-Basset,45.31182,4.11923,PlantCLEF2014,2186,58280,Train
41527,100366,3,Flower,967,Asteraceae,Hypochaeris,Hypochaeris radicata L.,genevieve botti,2013-7-15,Lajo,43.70674,3.5597,PlantCLEF2014,15915,6069,Train
18307,100367,5,Flower,588,Asteraceae,Centaurea,Centaurea jacea L.,liliane roubaudi,2014-9-5,Vézins-de-Lévézou,,,PlantCLEF2015,,,Train
17922,100408,3,Flower,9930,Orchidaceae,Epipactis,Epipactis helleborine (L.) Crantz,genevieve botti,2013-8-24,Briançon,,,PlantCLEF2014,2247,41762,Train
5981,100412,4,Flower,6512,Orchidaceae,Ophrys,Ophrys lutea Cav.,genevieve botti,2013-4-23,Marseille,,,PlantCLEF2014,14123,8007,Train
9022,100423,3.5,Flower,4460,Ranunculaceae,Anemone,Anemone hepatica L.,mathieu menand,2009-3-22,Juzet-d'Izaut,,,PlantCLEF2014,5379,32972,Train
17764,100432,4,Flower,6564,Orchidaceae,Serapias,Serapias vomeracea (Burm.f.) Briq.,marie portas,2013-5-8,Générac,,,PlantCLEF2014,8078,50758,Train
19837,100433,3.5,Flower,565,Asteraceae,Centaurea,Centaurea aspera L.,paul fabre,2012-6-15,Montferrier-sur-Lez,43.65753,3.86485,ImageCLEF2013,3089,5107,Train
16024,100485,3,Flower,6415,Orchidaceae,Orchis,Orchis anthropophora (L.) All.,francois meignant,2013-6-14,Othe,,,PlantCLEF2014,18596,48002,Train
2155,100490,4,Flower,1286,Asteraceae,Urospermum,Urospermum dalechampii (L.) Scop. ex F.W.Schmidt,liliane roubaudi,2013-5-30,Agde,,,PlantCLEF2014,6020,25810,Train
40566,100492,5,Flower,4516,Ranunculaceae,Ficaria,Ficaria verna Huds.,thierry pernot,1800-1-1,,,,PlantCLEF2014,4469,14476,Train
27229,100527,3,Flower,6547,Orchidaceae,Orchis,Orchis purpurea Huds.,mathieu menand,2007-4-13,Clermont-le-Fort,,,ImageCLEF2013,16879,55681,Train
25955,100530,3,Flower,30269,Papaveraceae,Papaver,Papaver rhoeas L.,thierry pernot,1800-1-1,,,,PlantCLEF2014,4094,22918,Train
11661,10063,3,Flower,6487,Orchidaceae,Ophrys,Ophrys apifera Huds.,paul fabre,2010-6-13,Montferrier-sur-Lez,43.65753,3.86485,ImageCLEF2013,16316,58777,Train
12003,100653,3,Flower,6564,Orchidaceae,Serapias,Serapias vomeracea (Burm.f.) Briq.,bertrand aucouturier,2013-6-22,Roumengoux,43.07223,1.93472,PlantCLEF2014,6888,8902,Train
37945,100664,2.5,Flower,8708,Apiaceae,Astrantia,Astrantia major L.,daniel mathieu,2009-7-12,Allevard,,,PlantCLEF2015,,,Train
33679,100746,4,Flower,576,Asteraceae,Cyanus,Cyanus segetum Hill,thierry pernot,1800-1-1,,,,PlantCLEF2014,6897,36609,Train
18747,100789,4,Flower,6415,Orchidaceae,Orchis,Orchis anthropophora (L.) All.,errol vela,2014-4-11,"Sidi Aich, ALGERIE",36.6026,4.69448,PlantCLEF2015,,,Train
22742,100904,3,Flower,8708,Apiaceae,Astrantia,Astrantia major L.,john de vos,2011-7-30,Mont-Saxonnex,46.0237,6.49125,PlantCLEF2015,,,Train
24123,100906,4,Flower,6487,Orchidaceae,Ophrys,Ophrys apifera Huds.,franck ramon,2012-5-20,Asson,,,PlantCLEF2014,7759,41515,Train
4863,101034,2,Flower,2430,Cistaceae,Helianthemum,Helianthemum nummularium (L.) Mill.,liliane roubaudi,2004-3-17,Tunisie,,,PlantCLEF2014,14237,14896,Train
2263,101042,3,Flower,8534,Ranunculaceae,Aconitum,Aconitum napellus L.,jean-jacques houdre,2011-7-30,Colombier,45.38753,4.5854,PlantCLEF2014,7441,45812,Train
13567,101087,3,Flower,151,Apiaceae,Daucus,Daucus carota L.,daniel mathieu,2008-7-22,Prades-le-Lez,,,PlantCLEF2014,9425,53417,Train
20986,101129,4,Flower,4436,Ranunculaceae,Clematis,Clematis vitalba L.,paul fabre,2013-8-4,Montferrier-sur-Lez,43.65753,3.86485,PlantCLEF2015,,,Train
37507,101187,3,Flower,4460,Ranunculaceae,Anemone,Anemone hepatica L.,Unknown193,2008-4-22,Laborel,44.28324,5.5618,ImageCLEF2013,13907,25038,Train
33264,101226,3,Flower,8527,Asteraceae,Achillea,Achillea millefolium L.,bernard andrieu,2013-7-5,La Tour-sur-Orb,43.67764,3.1342,PlantCLEF2014,13565,49108,Train
17805,10124,3,Flower,4411,Ranunculaceae,Anemone,Anemone nemorosa L.,jame lagarrigue,2011-4-30,Saint-Germain-de-Calberte,,,ImageCLEF2013,6365,35828,Train
18171,101253,2.5,Flower,967,Asteraceae,Hypochaeris,Hypochaeris radicata L.,herve goeau,2013-6-8,Saint-Michel-sur-Orge,48.64163,2.30964,PlantCLEF2014,17822,1828,Train
25306,101265,3.5,Flower,1286,Asteraceae,Urospermum,Urospermum dalechampii (L.) Scop. ex F.W.Schmidt,genevieve botti,2012-5-17,Marseille,,,PlantCLEF2014,19426,56615,Train
11976,101267,4,Flower,30269,Papaveraceae,Papaver,Papaver rhoeas L.,herve goeau,2013-6-13,Sainte-Geneviève-des-Bois,48.64653,2.31737,PlantCLEF2014,8642,18199,Train
21998,101327,4,Flower,6418,Orchidaceae,Himantoglossum,Himantoglossum robertianum (Loisel.) P.Delforge,annick larbouillat,2007-3-26,Fabrègues,,,ImageCLEF2013,7558,10531,Train
7964,101362,4,Flower,8527,Asteraceae,Achillea,Achillea millefolium L.,thierry pernot,1800-1-1,,,,PlantCLEF2014,1766,13667,Train
2225,101377,4,Flower,4353,Primulaceae,Primula,Primula vulgaris Huds.,herve goeau,2013-3-27,Sainte-Geneviève-des-Bois,48.8567,2.24104,PlantCLEF2014,13470,21823,Train
21235,101420,3,Flower,6512,Orchidaceae,Ophrys,Ophrys lutea Cav.,jean-pascal milcent,2010-5-5,Prades-le-Lez,43.71677,3.85804,ImageCLEF2013,4762,22769,Train
2155,101454,5,Flower,1286,Asteraceae,Urospermum,Urospermum dalechampii (L.) Scop. ex F.W.Schmidt,liliane roubaudi,2013-5-30,Agde,,,PlantCLEF2014,6020,39102,Train
25202,101501,4,Flower,2394,Cistaceae,Cistus,Cistus albidus L.,liliane roubaudi,2012-4-11,Narbonne,,,ImageCLEF2013,15119,56446,Train
9035,101529,3,Flower,6538,Orchidaceae,Anacamptis,"Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase",jean-jacques houdre,2009-5-5,Saint-Hostien,,,ImageCLEF2013,2121,54753,Train
39970,101536,3,Flower,30491,Violaceae,Viola,Viola tricolor L.,thierry pernot,1800-1-1,,,,PlantCLEF2014,11170,54415,Train
38615,101552,4,Flower,2394,Cistaceae,Cistus,Cistus albidus L.,pierre bonnet,2013-5-1,Villeneuve-lès-Maguelone,,,PlantCLEF2014,16939,29081,Train
32606,101590,3,Flower,6448,Orchidaceae,Epipactis,Epipactis atrorubens (Hoffm.) Besser,marie portas,2011-6-30,Entraunes,44.18882,6.7487,ImageCLEF2013,18314,51534,Train
33390,101601,3,Flower,6434,Orchidaceae,Dactylorhiza,Dactylorhiza fuchsii (Druce) Soó,jean-jacques houdre,2009-6-17,Aillon-le-Jeune,,,ImageCLEF2013,4498,2481,Train
17922,101661,4,Flower,9930,Orchidaceae,Epipactis,Epipactis helleborine (L.) Crantz,genevieve botti,2013-8-24,Briançon,,,PlantCLEF2014,2247,41405,Train
1824,101672,3,Flower,8708,Apiaceae,Astrantia,Astrantia major L.,liliane roubaudi,2014-6-15,Chamonix-Mont-Blanc,,,PlantCLEF2015,,,Train
4757,101707,3,Flower,29957,Ranunculaceae,Aquilegia,Aquilegia vulgaris L.,madeleine sarran,2006-5-29,Le Glaizil,,,ImageCLEF2013,15194,4528,Train
3053,101727,5,Flower,493,Asteraceae,Bellis,Bellis perennis L.,herve goeau,2013-4-17,Sainte-Geneviève-des-Bois,48.8567,2.24104,PlantCLEF2014,3087,27960,Train
10517,101729,4,Flower,8600,Orchidaceae,Anacamptis,Anacamptis pyramidalis (L.) Rich.,bernard ginesy,2013-5-22,Marseille,,,PlantCLEF2014,13465,20606,Train
9427,101740,4,Flower,786,Asteraceae,Eupatorium,Eupatorium cannabinum L.,thierry pernot,1800-1-1,,,,PlantCLEF2014,5855,6505,Train
35475,10175,2.5,Flower,4516,Ranunculaceae,Ficaria,Ficaria verna Huds.,Unknown642,2013-3-27,Montélimar,44.5465,4.74833,PlantCLEF2014,18532,19260,Train
22539,101756,5,Flower,576,Asteraceae,Cyanus,Cyanus segetum Hill,liliane roubaudi,2014-7-6,Selonnet,,,PlantCLEF2015,,,Train
9890,101801,3,Flower,2430,Cistaceae,Helianthemum,Helianthemum nummularium (L.) Mill.,jean-jacques houdre,2013-6-9,Lamastre,44.97563,4.6051,PlantCLEF2014,13945,5631,Train
33206,101804,3,Flower,30471,Orchidaceae,Ophrys,Ophrys scolopax Cav.,jame lagarrigue,2013-6-5,Poulx,43.91081,4.42406,PlantCLEF2014,2562,12640,Train
284,101843,3,Flower,6547,Orchidaceae,Orchis,Orchis purpurea Huds.,Unknown51,2009-4-21,Fozières,43.74489,3.35093,ImageCLEF2013,1750,1666,Train
17764,101874,3,Flower,6564,Orchidaceae,Serapias,Serapias vomeracea (Burm.f.) Briq.,marie portas,2013-5-8,Générac,,,PlantCLEF2014,8078,54664,Train
1691,101896,3,Flower,151,Apiaceae,Daucus,Daucus carota L.,john de vos,2007-7-21,Pied-de-Borne,44.49862,3.9819,PlantCLEF2014,18469,9191,Train
