observationid,mediaid,vote,content,classid,family,genus,species,author,date,location,latitude,longitude,yearinclef,observationid2014,imageid2014,learntag
12510,1648,4.0,Flower,4369,Primulaceae,Primula,Primula veris L.,liliane roubaudi,2014-4-1,La Chapelle en Guinchay,,,PlantCLEF2015,,,Train
27147,111066,3.0,Flower,30162,Orchidaceae,Himantoglossum,Himantoglossum hircinum (L.) Spreng.,julien barataud,2006-6-14,Plévenon,,,ImageCLEF2013,14913.0,48553.0,Train
35639,17104,3.0,Flower,6538,Orchidaceae,Anacamptis,"Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase",marie portas,2012-3-19,Hyères,,,ImageCLEF2013,6637.0,33907.0,Train
18747,30734,3.0,Flower,6415,Orchidaceae,Orchis,Orchis anthropophora (L.) All.,errol vela,2014-4-11,"Sidi Aich, ALGERIE",36.6026,4.69448,PlantCLEF2015,,,Train
26828,71634,4.0,Flower,5148,Salicaceae,Salix,Salix caprea L.,inge wullweber,2009-3-11,,,,PlantCLEF2014,2982.0,58691.0,Train
32446,31393,2.0,Flower,6448,Orchidaceae,Epipactis,Epipactis atrorubens (Hoffm.) Besser,Unknown108,2009-7-29,Suc-et-Sentenac,42.782379999999996,1.49456,ImageCLEF2013,18642.0,28520.0,Train
18747,37940,4.0,Flower,6415,Orchidaceae,Orchis,Orchis anthropophora (L.) All.,errol vela,2014-4-11,"Sidi Aich, ALGERIE",36.6026,4.69448,PlantCLEF2015,,,Train
33883,56700,3.0,Flower,6521,Orchidaceae,Ophrys,Ophrys aranifera Huds.,emmanuel stratmains,2013-4-23,Le Muy,43.488609999999994,6.59218,PlantCLEF2014,2312.0,38728.0,Train
4863,12354,2.0,Flower,2430,Cistaceae,Helianthemum,Helianthemum nummularium (L.) Mill.,liliane roubaudi,2004-3-17,Tunisie,,,PlantCLEF2014,14237.0,30461.0,Train
35491,70000,4.0,Flower,6509,Orchidaceae,Ophrys,Ophrys passionis Sennen,genevieve botti,2014-3-15,Tarascon,,,PlantCLEF2015,,,Train
27229,100527,3.0,Flower,6547,Orchidaceae,Orchis,Orchis purpurea Huds.,mathieu menand,2007-4-13,Clermont-le-Fort,,,ImageCLEF2013,16879.0,55681.0,Train
25488,10660,3.0,Flower,5148,Salicaceae,Salix,Salix caprea L.,herve goeau,2013-4-14,Saint-Aignan,,,PlantCLEF2014,401.0,52439.0,Train
